landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z,aligned_x,aligned_y,aligned_z,gt_first_x,gt_first_y,gt_first_z,error,error_rigid_aligned
966,-43.349391937,-3.218672514,-6.772274971,-8.646860123,-0.642025411,-1.350858927,-1.073082805,8.653870583,0.615283906,-1.076429963,8.595140457,0.636946023,12.107353210,0.062687144
967,-11.667381287,-5.482762337,-1.845835686,-2.327280998,-1.093641162,-0.368187010,-0.100989580,2.332827330,1.069279194,-0.208975002,2.277610064,1.108809948,4.246654510,0.127563626
968,-19.036231995,-8.098192215,6.373486996,-3.797138214,-1.615338326,1.271313071,1.538156986,3.800299406,1.598742604,1.493780017,3.794739962,1.611850023,7.574874401,0.046605013
969,18.751747131,-0.047310233,44.540435791,3.740392208,-0.009436925,8.884436607,9.148153305,-3.747042418,0.024408791,9.148150444,-3.761600018,0.003232840,11.054336548,0.025697172
971,1.764200687,-3.600487232,15.523202896,0.351903349,-0.718185604,3.096397877,3.361604452,-0.350933075,0.708423078,3.315449953,-0.354025006,0.722627997,3.814446688,0.048389848
972,-28.384269714,-7.318063736,6.976937771,-5.661781788,-1.459726810,1.391682744,1.661743164,5.664826393,1.444257975,1.573740005,5.739359856,1.481709957,10.207239151,0.121253632
974,6.424419403,-0.805961370,-17.257909775,1.281472564,-0.160764307,-3.442418098,-3.175914288,-1.271467328,0.121570200,-2.672709942,-0.831673980,0.134068996,5.373726845,0.668422818
975,-38.712364197,-2.763600349,44.938758850,-7.721916676,-0.551252604,8.963889122,9.240705490,7.714979172,0.570192873,9.023989677,7.595870018,0.541985989,20.438430786,0.248894274
978,1.835803986,-2.925873280,-8.700942039,0.366185993,-0.583621025,-1.735568166,-1.469728708,-0.358625889,0.552319169,-1.370079994,-0.252555996,0.551642001,2.890597343,0.145537451
979,-9.659473419,-8.502237320,8.281570435,-1.926765561,-1.695932746,1.651916623,1.915865302,1.929388046,1.680441856,1.859230042,1.935289979,1.703449965,5.246160507,0.061414644
982,-43.610122681,-2.776539803,42.988273621,-8.698867798,-0.553833604,8.574828148,8.852959633,8.692454338,0.571348310,8.997010231,8.873999596,0.591807008,21.581398010,0.232653841
984,-37.911407471,-8.543027878,5.370124817,-7.562150478,-1.704069257,1.071173429,1.342720866,7.565551758,1.687769532,1.319569945,7.491700172,1.686769962,12.799456596,0.077401690
989,-8.193870544,-0.226752460,12.990442276,-1.634423137,-0.045230087,2.591190577,2.862091064,1.636284351,0.033849854,2.800559998,1.640329957,0.045424800,5.384339809,0.062740885
990,-49.980895996,-6.791925430,-0.749344826,-9.969639778,-1.354778528,-0.149471059,0.126905531,9.974800110,1.333802223,0.387522012,9.538020134,1.269029975,15.097549438,0.512731075
992,-40.227169037,-7.469458580,43.197479248,-8.024073601,-1.489925385,8.616558075,8.889603615,8.017314911,1.507403493,8.857709885,8.054949760,1.506819963,20.655448914,0.049334899
993,-35.592338562,-8.286506653,1.371913910,-7.099568367,-1.652901173,0.273654282,0.544812202,7.104066849,1.632901192,0.543282986,7.018770218,1.630399942,11.638377190,0.085346997
994,15.080703735,-8.486831665,33.654586792,3.008132935,-1.692859769,6.713046551,6.970273018,-3.012362719,1.698367953,6.976019859,-3.038990021,1.710369945,6.525562286,0.029767217
995,-44.921192169,-5.048471451,45.093154907,-8.960385323,-1.007013559,8.994686127,9.271147728,8.953262329,1.026477695,9.023870468,8.755120277,0.978686988,21.977010727,0.320453227
996,9.027998924,-7.566745758,42.163078308,1.800805926,-1.509331226,8.410226822,8.669887543,-1.807280302,1.522786975,8.696769714,-1.818709970,1.526479959,9.748641014,0.029443616
997,-17.148216248,-0.559394777,5.876172066,-3.420537472,-0.111581914,1.172114134,1.445152283,3.424299479,0.094440222,1.382359982,3.429960012,0.112916999,6.060712814,0.065698601
