landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z
186,-12.369373322,-8.892383575,-10.797248840,-2.467306614,-1.773754835,-2.153716326
188,28.610113144,-7.802062988,38.904388428,5.706830502,-1.556269646,7.760219574
189,-31.736816406,-1.710986614,-9.344180107,-6.330511093,-0.341288775,-1.863874316
190,-39.046112061,-1.077867270,14.444636345,-7.788488865,-0.215001106,2.881257057
191,-40.523326874,-2.696057320,19.382720947,-8.083147049,-0.537779868,3.866251945
192,-46.311996460,-8.486708641,-8.071983337,-9.237807274,-1.692835331,-1.610110402
193,-36.901428223,-4.309211731,-21.144626617,-7.360691071,-0.859554172,-4.217697620
194,22.501983643,-9.543711662,32.369537354,4.488448143,-1.903674603,6.456719398
196,23.353925705,-5.915066719,33.553436279,4.658384323,-1.179872394,6.692870617
198,10.482524872,-0.348693728,15.382689476,2.090938807,-0.069553591,3.068369627
200,5.463573456,-6.784194946,1.337330341,1.089813590,-1.353236556,0.266755939
202,-1.982283831,-8.000316620,15.415771484,-0.395404160,-1.595815182,3.074968576
204,39.114921570,-1.925765872,30.147514343,7.802214146,-0.384130597,6.013494492
205,-46.025749207,-5.334483147,1.124114037,-9.180709839,-1.064064026,0.224225909
206,9.050066948,-9.790674210,26.479806900,1.805207849,-1.952936053,5.281900406
207,20.187278748,-0.427697599,35.387802124,4.026736259,-0.085312411,7.058769703
208,-30.315868378,-4.489413261,-17.033618927,-6.047075748,-0.895498753,-3.397678852
213,-2.812984228,-9.053289413,49.672080994,-0.561103165,-1.805850625,9.908040047
214,-43.246547699,-6.223501682,15.814069748,-8.626345634,-1.241395712,3.154416561
216,5.745964050,-5.368888855,-6.391663551,1.146141648,-1.070926905,-1.274938703
217,12.189228058,-9.267570496,32.606071472,2.431373119,-1.848592997,6.503900528
222,-25.500453949,-0.634213865,38.916324615,-5.086550236,-0.126506001,7.762600422
224,17.658067703,-5.439424515,31.936374664,3.522237062,-1.084996581,6.370316505
226,-24.648334503,-8.939347267,-1.233678818,-4.916578770,-1.783122659,-0.246080682
229,-32.962650299,-5.028290272,0.524823189,-6.575026989,-1.002987981,0.104685955
232,-28.985078812,-0.231756628,35.444267273,-5.781624794,-0.046228264,7.070032597
233,-13.747352600,-0.817773283,-11.120006561,-2.742170572,-0.163120419,-2.218096495
237,19.248809814,-5.019723892,34.690811157,3.839540958,-1.001279354,6.919741631
239,-40.405662537,-5.113127708,13.073629379,-8.059677124,-1.019910455,2.607783794
240,-12.333829880,-5.852905750,6.137801170,-2.460216761,-1.167473316,1.224301100
241,-45.286552429,-7.609343529,49.353775024,-9.033263206,-1.517828107,9.844548225
243,-45.336380005,-8.513623238,45.370849609,-9.043202400,-1.698203921,9.050078392
244,-16.612148285,-5.071728706,33.344665527,-3.313608646,-1.011652708,6.651226997
245,2.853311539,-5.373717308,-5.952417374,0.569147229,-1.071889997,-1.187322736
248,-47.821868896,-7.739262104,39.281581879,-9.538980484,-1.543742895,7.835457802
251,-8.382219315,-0.873131275,-3.389361382,-1.671992898,-0.174162626,-0.676072538
252,28.811521530,-6.109700203,27.541137695,5.747005463,-1.218695760,5.493603230
255,-6.407158852,-3.550983906,47.654628754,-1.278029561,-0.708311200,9.505620956
257,35.887050629,-0.913228989,34.873649597,7.158354282,-0.182160869,6.956212044
259,8.997474670,-3.729023695,21.676982880,1.794717312,-0.743824601,4.323885918
261,30.234340668,-4.676014900,24.936611176,6.030813694,-0.932720006,4.974081039
262,5.770218849,-7.047015190,-5.672036171,1.150979757,-1.405661106,-1.131395340
264,-46.324058533,-6.920683861,14.159508705,-9.240213394,-1.380461931,2.824383020
267,-45.580451965,-7.465552330,-18.314323425,-9.091887474,-1.489146233,-3.653139830
270,-12.459442139,-1.956762552,48.093795776,-2.485272408,-0.390313476,9.593221664
273,34.061054230,-9.586355209,27.985488892,6.794124603,-1.912180662,5.582237720
275,-35.582134247,-8.991384506,1.342254639,-7.097532749,-1.793502450,0.267738193
276,-10.591068268,-0.039553151,30.176713943,-2.112589836,-0.007889627,6.019319057
279,4.907945633,-8.086104393,49.014839172,0.978982985,-1.612927198,9.776941299
280,-1.587707043,-0.860303760,16.653263092,-0.316698343,-0.171603933,3.321809769
285,-27.669900894,-8.995635033,-11.310866356,-5.519287586,-1.794350266,-2.256167173
286,10.909542084,-6.721037388,18.799007416,2.176115513,-1.340638638,3.749819279
289,10.355344772,-7.349676609,40.311466217,2.065570354,-1.466032624,8.040887833
290,3.141353369,-5.583244324,21.345275879,0.626602590,-1.113684177,4.257720947
296,4.981409073,-8.428194046,11.330710411,0.993636668,-1.681163430,2.260125399
297,-30.628522873,-7.002407074,44.032104492,-6.109440804,-1.396763086,8.783040047
